,_unit_id,_created_at,_canary,_id,_started_at,_channel,_trust,_worker_id,_country,_region,_city,_ip,direction,b1,b2,direction_gold,e1,e2,relation,relex_relcos,sent_id,sentence,term1,term2,twrex
2751,503335496,7/15/2014 21:07:28,,1323841938,7/15/2014 21:07:24,instagc,0.6944,25990856,USA,NV,Las Vegas,68.108.98.78,THROMBOCYTOSIS causes ESSENTIAL THROMBOCYTHEMIA,62,113,,75,138,causes,0.6324555320336761,901625-FS1-4,"However, the presence of a condition associated with reactive THROMBOCYTOSIS does not exclude the possibility of ESSENTIAL THROMBOCYTHEMIA if the first three criteria are met.",THROMBOCYTOSIS,ESSENTIAL THROMBOCYTHEMIA,RO-disease_has_finding
2758,503335498,7/15/2014 20:54:40,,1323836170,7/15/2014 20:54:09,clixsense,0.9583,15189335,GBR,H9,London,188.29.165.120,FUNGUS causes FUNGAL INFECTION,100,130,,105,146,causes,0.975900072948533,903937-FS1-4,"rhinophycomycosis    (                         audio )  [&dblprime; +  phykos , seaweed, +  mykes , FUNGUS +  osis , condition] A FUNGAL INFECTION that may occur in humans or animals.",FUNGUS,FUNGAL INFECTION,RO-has_causative_agent
2765,503335499,7/15/2014 21:07:19,,1323841865,7/15/2014 21:07:15,instagc,0.6944,25990856,USA,NV,Las Vegas,68.108.98.78,no_relation,95,69,,123,89,causes,0.9594032236002472,905157-FS1-4,Hoku acupuncture also increased palm temperature suggesting that the BLOOD FLOW INCREASED from CUTANEOUS VESSEL VASODILATION.,CUTANEOUS VESSEL VASODILATION,BLOOD FLOW INCREASED,RO-has_finding_site
2786,503335504,7/15/2014 20:54:32,,1323836090,7/15/2014 20:54:01,clixsense,1.0,27871219,NLD,07,Amsterdam,87.210.207.223,MICRONUTRIENT DEFICITS causes PROTEIN CALORIE MALNUTRITION,101,30,,128,52,causes,0.9901475429766742,900167-FS1-4,Selective food intake induced MICRONUTRIENT DEFICITS (moderate undernutrition) and can later lead to PROTEIN CALORIE MALNUTRITION (PCM.,PROTEIN CALORIE MALNUTRITION,MICRONUTRIENT DEFICITS,RO-cause_of
2814,503335510,7/15/2014 20:53:58,,1323835859,7/15/2014 20:53:25,instagc,0.9583,24252915,GBR,B7,Bristol,77.98.139.82,no_relation,113,67,,135,70,causes,0.342997170285018,906387-FS1-4,Alveolar hemorrhage occurs in approximately 2% 4% of patients with SLE and may represent part of the spectrum of ACUTE LUPUS PNEUMONITIS (tvml 10tvml ; tvml 32tvml.,ACUTE LUPUS PNEUMONITIS,SLE,RO-has_manifestation
2821,503335512,7/15/2014 22:09:31,,1323866376,7/15/2014 22:08:58,neodev,0.6528,11087793,GBR,K6,Southsea,82.24.115.185,no_relation,88,4,,112,35,causes,0.975900072948533,901915-FS1-4,The MYELODYSPLASTIC SYNDROMES (MDS) are a family of disorders that are characterized by INEFFECTIVE HEMATOPOIESIS and evolution to acute myelogenous leukemias (AMLs) that are strikingly refractory to current therapeutic approaches.,INEFFECTIVE HEMATOPOIESIS,MYELODYSPLASTIC SYNDROMES (MDS),RO-disease_has_finding
2828,503335514,7/15/2014 21:23:37,,1323848769,7/15/2014 21:23:15,elite,0.8125,28276268,USA,MI,Taylor,67.149.247.166,SCHIZOPHRENIA treats OLANZAPINE,253,286,,265,296,treats,0.970494958830946,907749-FS1-2,severe mental illness (Cochrane Review)  Risperidone versus other atypical antipsychotic medication for schizophrenia (Cochrane Review)  Perazine for schizophrenia (Cochrane Review)  Benperidol for schizophrenia (Cochrane Review)  Depot risperidone for SCHIZOPHRENIA (Cochrane Review)  OLANZAPINE for schizophrenia (Cochrane Review)  Antipsychotic medication for those with both schizophrenia and learning disability (Cochrane Review)  Electroconvulsive therapy for schizophrenia (Cochrane Review)  Beta blocker supplementation of standard drug treatment for schizophrenia (Cochrane Review)  Depot fluphenazine for schizophrenia (Cochrane Review)  Carbamazepine for schizophrenia and schizoaffective psychoses (Cochrane.,SCHIZOPHRENIA,OLANZAPINE,RO-may_treat
2835,503335515,7/15/2014 20:55:03,,1323836306,7/15/2014 20:54:32,clixsense,1.0,27871219,NLD,07,Amsterdam,87.210.207.223,COBALAMIN DEFICIENCY causes SUBACUTE COMBINED DEGENERATION OF THE SPINAL,74,39,,117,59,causes,0.9797958971132712,900320-FS1-4,We describe a patient with unsuspected COBALAMIN DEFICIENCY who developed SUBACUTE COMBINED DEGENERATION OF THE SPINAL cord after nitrous oxide anesthesia.,SUBACUTE COMBINED DEGENERATION OF THE SPINAL,COBALAMIN DEFICIENCY,RO-cause_of
2842,503335516,7/15/2014 21:06:27,,1323841544,7/15/2014 21:06:16,prodege,0.9167,2143114,CAN,BC,Vancouver,24.84.160.12,LOW TURNOVER OSTEOMALACIA causes LOW BONE TURNOVER,150,181,,166,206,causes,0.9491579957524988,902178-FS1-4,"In all centers, independent of the aluminum staining technique used, the extent of aluminum deposited in bone was greater in patients presenting with LOW BONE TURNOVER whether from LOW TURNOVER OSTEOMALACIA or adynamic bone disease, than in the predominant hyperparathyroid bone disease.",LOW BONE TURNOVER,LOW TURNOVER OSTEOMALACIA,RO-disease_has_primary_anatomic_site
2849,503335517,7/15/2014 21:14:04,,1323844817,7/15/2014 21:13:34,elite,0.6944,28503042,USA,NJ,Woodbridge,54.191.150.115,no_relation,2,57,,6,91,causes,0.5,903782-FS1-4,"A VIRUS isolation was not possible, so that the definite PROOF OF A VIRAL INFECTION OF SHML could not be demonstrated.",VIRUS,PROOF OF A VIRAL INFECTION OF SHML,RO-has_causative_agent
2870,503335520,7/15/2014 21:05:59,,1323841274,7/15/2014 21:05:44,prodege,0.9167,2143114,CAN,BC,Vancouver,24.84.160.12,AFTER AN OVERNIGHT DEXAMETHASONE ADMINISTRATION treats CUSHING'S SYNDROME,52,115,,69,162,treats,0.639602149066831,906655-FS1-2,Although she had no characteristic feature of overt CUSHING'S SYNDROME her serum cortisol level was not suppressed AFTER AN OVERNIGHT DEXAMETHASONE ADMINISTRATION.,CUSHING'S SYNDROME,AFTER AN OVERNIGHT DEXAMETHASONE ADMINISTRATION,RO-may_diagnose
2884,503460430,7/16/2014 13:08:45,,1324244870,7/16/2014 13:08:22,clixsense,0.9583,27871219,NLD,07,Amsterdam,87.210.207.223,HEPATOMA causes ASCITES,75,52,,81,60,causes,0.583459965991578,902970-FS1-4,In 2 cases of fulminant hepatitis with sepsis and 3 HEPATOMA patients with ASCITES elemental diet containing maltose and amino acids was used to supply sufficient amounts of nutrients in a minimum volume of water.,ASCITES,HEPATOMA,RO-disease_may_have_finding
2891,503460431,7/16/2014 13:11:49,,1324246022,7/16/2014 13:11:38,clixsense,0.9167,20614047,USA,MO,Maryville,174.32.162.147,no_relation,86,62,,113,81,treats,0.979957887012223,907492-FS1-2,"Weiss RB, Freiman J, Kweder SL, et al. Hemolytic anemia after FLUDARABINE THERAPY for CHRONIC LYMPHOCYTIC LEUKEMIA",CHRONIC LYMPHOCYTIC LEUKEMIA,FLUDARABINE THERAPY,RO-may_treat
2905,503460434,7/16/2014 13:22:03,,1324250158,7/16/2014 13:21:53,clixsense,0.7208,27793793,GBR,C5,Chester,151.230.27.155,ONCOGENIC OSTEOMALACIA causes PHOSPHATURIA,54,0,,65,22,causes,0.9830783046228492,901839-FS1-4,"ONCOGENIC OSTEOMALACIA is a syndrome characterized by PHOSPHATURIA hypophosphatemia, reduced vitamin D levels, and osteomalacia.",PHOSPHATURIA,ONCOGENIC OSTEOMALACIA,RO-disease_has_finding
2912,503460440,7/16/2014 13:16:44,,1324248051,7/16/2014 13:16:10,instagc,0.7222,14378608,USA,NY,Brooklyn,24.189.101.95,no_relation,47,0,,86,18,causes,0.320256307610174,902397-FS1-4,PEMPHIGUS VULGARIS is an autoimmune blistering DISEASE OF THE SKIN AND MUCOUS MEMBRANES that is caused by anti desmoglein 3 IgG autoantibodies.,DISEASE OF THE SKIN AND MUCOUS MEMBRANES,PEMPHIGUS VULGARIS,RO-disease_has_primary_anatomic_site
2919,503460441,7/16/2014 14:18:23,,1324272897,7/16/2014 14:17:58,instagc,0.7677,28301350,GBR,K4,Plymouth,92.28.208.109,no_relation,13,91,,28,119,causes,0.7715167498104591,902718-FS1-4,"Two isolated CALCIUM DEPOSITS formed an encapsulated mass in the iliopsoas muscle, and the EXTRASKELETAL OSTEOCHONDROMA was diagnosed.",CALCIUM DEPOSITS,EXTRASKELETAL OSTEOCHONDROMA,RO-disease_may_have_finding
2926,503460443,7/16/2014 13:07:57,,1324244522,7/16/2014 13:07:36,clixsense,0.9583,27871219,NLD,07,Amsterdam,87.210.207.223,ENDOTOXIN causes ENDOTOXIC SHOCK,201,141,,209,156,causes,0.956182887467515,903981-FS1-4,"In order to understand the mechanism of prevention of endotoxic shock and evaluate the pathological changes taking place, an animal model of ENDOTOXIC SHOCK was established by intravenous injection of ENDOTOXIN into rats, which were then treated with a hepatic stimulating substance, hepatopoietin (HPN.",ENDOTOXIN,ENDOTOXIC SHOCK,RO-has_causative_agent
2954,503460449,7/16/2014 13:07:55,,1324244518,7/16/2014 13:07:33,tremorgames,0.8889,24449707,CAN,QC,Laval,96.21.249.72,GRAVES' DISEASE causes GRAVES' THYROTOXICOSIS,115,149,,129,171,causes,0.737209780774486,900460-FS1-4,"In contrast, we did not find a definite increase in the LGL percentage within 6 months postpartum in patients with GRAVES' DISEASE who relapsed into GRAVES' THYROTOXICOSIS",GRAVES' DISEASE,GRAVES' THYROTOXICOSIS,RO-cause_of
2961,503460450,7/16/2014 13:15:01,,1324247412,7/16/2014 13:14:37,prodege,0.7917,9525153,CAN,ON,Toronto,65.95.94.44,POSTMENOPAUSAL BLEEDING causes ENDOMETRIAL CANCER,101,152,,123,170,causes,0.676123403782813,902927-FS1-4,? Patients who have normal ovulatory cycles without irregular bleeding or are postmenopausal without POSTMENOPAUSAL BLEEDING are at low risk for having ENDOMETRIAL CANCER,POSTMENOPAUSAL BLEEDING,ENDOMETRIAL CANCER,RO-disease_may_have_finding
2982,503460457,7/16/2014 13:06:16,,1324243826,7/16/2014 13:05:51,prodege,0.9167,7664351,USA,NY,Cicero,74.111.0.21,BORDETELLA PERTUSSIS causes WHOOPING COUGH,47,91,,66,105,causes,1.0,903889-FS1-4,Pertussis toxin is a major virulence factor of BORDETELLA PERTUSSIS the causative agent of WHOOPING COUGH,BORDETELLA PERTUSSIS,WHOOPING COUGH,RO-has_causative_agent
2996,503460461,7/16/2014 13:05:50,,1324243667,7/16/2014 13:05:25,prodege,0.9167,7664351,USA,NY,Cicero,74.111.0.21,SPONTANEOUS ADRENAL HEMORRHAGE causes NEUROBLASTOMA,28,104,,57,117,causes,0.680413817439772,902782-FS1-4,"Less commonly, in newborns, SPONTANEOUS ADRENAL HEMORRHAGE may produce large adrenal masses, simulating NEUROBLASTOMA or Wilms' tumor.",SPONTANEOUS ADRENAL HEMORRHAGE,NEUROBLASTOMA,RO-disease_may_have_finding
3003,503460462,7/16/2014 13:07:55,,1324244521,7/16/2014 13:07:33,tremorgames,0.8889,24449707,CAN,QC,Laval,96.21.249.72,CLOZAPINE treats SCHIZOPHRENIA,128,44,,140,53,treats,1.0,908255-FS1-2,"Atypical antipsychotic drugs (APDs) such as CLOZAPINE but not the typical APD haloperidol, improve some aspects of cognition in SCHIZOPHRENIA",SCHIZOPHRENIA,CLOZAPINE,RO-may_treat
3017,503460465,7/16/2014 13:07:37,,1324244353,7/16/2014 13:07:08,neodev,0.8194,18339121,USA,SC,Sumter,173.93.188.194,SEIZURES causes EPILEPSY,387,400,,394,408,causes,0.668153104781061,904831-FS1-4,"The objectives of this article are to present the classification of seizure disorders in population studies and family studies, the basic measures of occurrence and association that are used in genetic and epidemiologic studies, the frequencies of seizures and epilepsy in populations, the major acquired causes of epilepsy and the epidemiologic evidence for causation, the prognosis of SEIZURES and EPILEPSY and the role of genetic factors in epilepsy.",SEIZURES,EPILEPSY,RO-has_definitional_manifestation
3024,503460467,7/16/2014 13:06:39,,1324244011,7/16/2014 13:06:17,prodege,0.9167,7664351,USA,NY,Cicero,74.111.0.21,HEMOPHAGOCYTOSIS causes HEMOPHAGOCYTIC LYMPHOHISTIOCYTOSIS,159,196,,174,230,causes,0.452267016866645,901897-FS1-4,"On the basis of progressive hyperferritinemia (1323 ng/ml), anemia (hemoglobin: 5.2 g/dl), hypertriglyceridemia (547 mg/dl) and increased LDH (1063 IU/l) with HEMOPHAGOCYTOSIS in the bone marrow, HEMOPHAGOCYTIC LYMPHOHISTIOCYTOSIS was diagnosed.",HEMOPHAGOCYTOSIS,HEMOPHAGOCYTIC LYMPHOHISTIOCYTOSIS,RO-disease_has_finding
3031,503460471,7/16/2014 13:14:01,,1324246992,7/16/2014 13:13:38,instagc,0.7083,18960682,GBR,,,86.29.147.112,BCL 2 GENE causes FOLLICULAR LYMPHOMAS,230,207,,249,217,causes,0.462910049886276,906095-FS1-4,"This growth enhancement was also seen in cells transfected with the BCL 2 gene with its own promoter juxtaposed to the immunoglobulin heavy chain gene enhancer, which represents the translocated form of the BCL 2 GENE observed in FOLLICULAR LYMPHOMAS with the t(14;18) translocation.",FOLLICULAR LYMPHOMAS,BCL 2 GENE,RO-has_manifestation
3045,503460478,7/16/2014 13:07:09,,1324244163,7/16/2014 13:06:45,clixsense,0.9583,27871219,NLD,07,Amsterdam,87.210.207.223,DISOPYRAMIDE treats VENTRICULAR TACHYCARDIA,233,257,,255,269,treats,0.50709255283711,907380-FS1-2,"In 75% of supraventricular parossistic tachycardia and in 75% of parossistic atrial fibrillation, arrhythmia was interrupted within few minutes from drug injection; in 90% with premature ventricular contractions (PVC) and in 100% of VENTRICULAR TACHYCARDIA DISOPYRAMIDE was capable to interrupt the arrhythmias.",VENTRICULAR TACHYCARDIA,DISOPYRAMIDE,RO-may_prevent
3059,503460480,7/16/2014 13:08:45,,1324244869,7/16/2014 13:08:22,clixsense,0.9583,27871219,NLD,07,Amsterdam,87.210.207.223,ANTIARRHYTHMIC DRUG EFFICACY treats ARRHYTHMIAS,213,88,,223,116,treats,0.7624928516630229,907090-FS1-2,While maximal exercise testing is useful for detection of arrhythmias and assessment of ANTIARRHYTHMIC DRUG EFFICACY few reports have documented the safety of this procedure in patients with malignant ventricular ARRHYTHMIAS.,ARRHYTHMIAS,ANTIARRHYTHMIC DRUG EFFICACY,RO-may_prevent
3073,503460484,7/16/2014 13:14:35,,1324247237,7/16/2014 13:14:09,prodege,0.7917,9525153,CAN,ON,Toronto,65.95.94.44,VERRUCA PLANA TYPE LESION causes HYPERKERATOSIS,115,76,,128,101,causes,0.529812942826018,901815-FS1-4,The classic histologic presentation of epidermodysplasia verruciformis is a VERRUCA PLANA TYPE LESION with minimal HYPERKERATOSIS and acanthotic areas where the cells contain perinuclear halos and blue gray pallor.,HYPERKERATOSIS,VERRUCA PLANA TYPE LESION,RO-disease_has_finding
3080,503460487,7/16/2014 13:15:01,,1324247413,7/16/2014 13:14:37,prodege,0.7917,9525153,CAN,ON,Toronto,65.95.94.44,no_relation,44,116,,67,125,causes,0.31622776601683805,907551-FS1-4,Effects of enalapril on mortality in severe CONGESTIVE HEART FAILURE: results of the cooperative North Scandinavian ENALAPRIL survival study (consensus.,CONGESTIVE HEART FAILURE,ENALAPRIL,RO-may_treat
3087,503460492,7/16/2014 13:12:03,,1324246132,7/16/2014 13:11:53,clixsense,0.9167,20614047,USA,MO,Maryville,174.32.162.147,RISPERIDONE causes SCHIZOPHRENIA,104,0,,116,11,causes,0.34188172937891403,907998-FS1-4,RISPERIDONE is an atypical antipsychotic agent with efficacy for both positive and negative symptoms of SCHIZOPHRENIA,SCHIZOPHRENIA,RISPERIDONE,RO-may_treat
3101,503460496,7/16/2014 13:06:47,,1324244038,7/16/2014 13:06:27,clixsense,1.0,19803139,NLD,06,Veldhoven,212.61.84.196,no_relation,284,202,,310,215,causes,0.547722557505166,902514-FS1-4,"However, despite the additional information provided by MRI, mammography is still an extremely important diagnostic imaging modality, particularly for several common conditions such as ductal carcinoma IN SITU (DCIS) where it has been shown that there is a strong correlation between MICROCALCIFICATION CLUSTERS and malignancy.",MICROCALCIFICATION CLUSTERS,IN SITU (DCIS,RO-disease_may_have_finding
3108,503460499,7/16/2014 13:18:55,,1324248918,7/16/2014 13:18:30,elite,0.7917,28503042,USA,NJ,Woodbridge,54.191.150.115,PHP IA causes ALBRIGHT HEREDITARY OSTEODYSTROPHY (AHO),72,14,,111,20,causes,0.963086824686154,906061-FS1-4,"Patients with PHP IA exhibit a complex of somatic abnormalities, termed ALBRIGHT HEREDITARY OSTEODYSTROPHY (AHO).",ALBRIGHT HEREDITARY OSTEODYSTROPHY (AHO),PHP IA,RO-has_manifestation
3115,503460500,7/16/2014 13:05:49,,1324243648,7/16/2014 13:05:33,clixsense,1.0,19803139,NLD,06,Veldhoven,212.61.84.196,EPILEPSY causes SEIZURE,65,98,,71,106,causes,0.937042571331636,904589-FS1-4,Treatment with antiepileptic drugs (AED) increases the chance of SEIZURE control in patients with EPILEPSY,SEIZURE,EPILEPSY,RO-has_definitional_manifestation
3136,503460503,7/16/2014 13:07:37,,1324244348,7/16/2014 13:07:08,neodev,0.8194,18339121,USA,SC,Sumter,173.93.188.194,NICOTINE DEPENDENCE causes NICOTINE,33,33,,40,52,causes,0.975900072948533,903738-FS1-4,An affective model suggests that NICOTINE DEPENDENCE should be related to an individual's tendency to experience negative affect and expectations that NICOTINE use would ameliorate such affect.,NICOTINE,NICOTINE DEPENDENCE,RO-has_causative_agent
3143,503460504,7/16/2014 13:07:34,,1324244332,7/16/2014 13:07:18,clixsense,1.0,19803139,NLD,06,Veldhoven,212.61.84.196,ENDOMETRIOSIS causes PAIN,36,54,,39,67,causes,0.99654575824488,904760-FS1-4,The problem is determining when the PAIN is caused by ENDOMETRIOSIS,PAIN,ENDOMETRIOSIS,RO-has_definitional_manifestation
3150,503460506,7/16/2014 13:07:29,,1324244280,7/16/2014 13:06:41,prodege,0.9167,7664351,USA,NY,Cicero,74.111.0.21,no_relation,9,72,,48,93,causes,0.737209780774486,906332-FS1-4,"Although MILD TO MODERATE INTELLECTUAL DISABILITY is usually considered PART OF WAGR SYNDROME (Wilms' tumour (WT), Aniridia, Genital abnormalities, and metal Retardation, due to 11p13 deletion) the neuropsychological profile of the syndrome is little reported in the literature.",MILD TO MODERATE INTELLECTUAL DISABILITY,PART OF WAGR SYNDROME,RO-has_manifestation
3157,503460507,7/16/2014 13:07:35,,1324244339,7/16/2014 13:07:09,clixsense,0.9583,27871219,NLD,07,Amsterdam,87.210.207.223,ALLERGY causes HYPERSENSITIVITY,102,182,,117,189,causes,0.437594974493684,900315-FS1-4,"On the basis of phenomenon of PFC count increase in the presence of penicillin in specimens in vitro, HYPERSENSITIVITY to thi antibiotic in the absence of clinical manifestations of ALLERGY was detected in 27% of children.",HYPERSENSITIVITY,ALLERGY,RO-cause_of
3164,503468990,7/16/2014 15:23:14,,1324296236,7/16/2014 15:22:54,tremorgames,1.0,24449707,CAN,QC,Laval,96.21.249.72,VIRUS ASSOCIATED HEMOPHAGOCYTIC SYNDROME (VAHS) causes HEMOPHAGOCYTOSIS,124,2,,139,49,causes,0.8616404368553291,901971-FS1-4,"A VIRUS ASSOCIATED HEMOPHAGOCYTIC SYNDROME (VAHS) is a non neoplastic, generalized histiocytic proliferation with prominent HEMOPHAGOCYTOSIS associated with a systemic viral infection.",HEMOPHAGOCYTOSIS,VIRUS ASSOCIATED HEMOPHAGOCYTIC SYNDROME (VAHS),RO-disease_has_finding
3171,503468991,7/16/2014 15:22:52,,1324296145,7/16/2014 15:22:29,tremorgames,1.0,24449707,CAN,QC,Laval,96.21.249.72,no_relation,44,79,,70,97,causes,0.6154574548966639,902198-FS1-4,"29  Inflammatory bowel disease   Typically, INFLAMMATORY BOWEL DISEASES (e.g., ULCERATIVE COLITIS and Crohn disease) produce inflammatory diarrhea, with blood and pus in the stool.",INFLAMMATORY BOWEL DISEASES,ULCERATIVE COLITIS,RO-disease_has_primary_anatomic_site
3178,503468992,7/16/2014 16:20:25,,1324322146,7/16/2014 16:19:49,instagc,0.5972,19436046,GBR,U3,Dundee,82.36.106.184,PERIODIC ALTERNATING HYPERTENSION causes ADRENAL PHEOCHROMOCYTOMA,81,29,,113,53,causes,0.843274042711568,902699-FS1-4,We present a patient with an ADRENAL PHEOCHROMOCYTOMA with an unusual pattern of PERIODIC ALTERNATING HYPERTENSION and hypotension.,PERIODIC ALTERNATING HYPERTENSION,ADRENAL PHEOCHROMOCYTOMA,RO-disease_may_have_finding
3185,503468993,7/16/2014 15:32:06,,1324299056,7/16/2014 15:31:52,instagc,0.8611,24252915,GBR,B7,Bristol,77.98.139.82,no_relation,46,89,,67,110,causes,0.8006407690254359,900492-FS1-4,It also allowed to predict the development of POSTTRAUMATIC EPILEPSY in individuals with CRANIOCEREBRAL TRAUMA in the past.,POSTTRAUMATIC EPILEPSY,CRANIOCEREBRAL TRAUMA,RO-cause_of
3192,503468995,7/16/2014 15:22:28,,1324295990,7/16/2014 15:22:07,tremorgames,1.0,24449707,CAN,QC,Laval,96.21.249.72,no_relation,63,17,,88,38,treats,0.4574957109978139,902607-FS1-2,"The diagnosis of PLASMA CELL LEUKAEMIA a rare disorder with an AGGRESSIVE CLINICAL COURSE and poor prognosis, is not always straightforward and may be dependent on the results of immunophenotyping.",AGGRESSIVE CLINICAL COURSE,PLASMA CELL LEUKAEMIA,RO-disease_may_have_finding
3206,503468998,7/16/2014 16:00:48,,1324311078,7/16/2014 16:00:23,clixsense,0.6111,17722340,CAN,BC,Mission,50.98.185.25,WARFARIN causes PREGNANCY,140,156,,147,165,causes,0.855186110494136,901253-FS1-4,Fetal warfarin syndrome (FWS) or warfarin (coumadin) embryopathy is a rare condition as a result of fetal exposure to maternal ingestion of WARFARIN during PREGNANCY,WARFARIN,PREGNANCY,RO-contraindicated_drug
3213,503468999,7/16/2014 15:22:28,,1324295987,7/16/2014 15:22:07,tremorgames,1.0,24449707,CAN,QC,Laval,96.21.249.72,GRAVES' DISEASE causes THYROTOXICOSIS,76,101,,90,115,causes,0.6575959492214289,900139-FS1-4,We previously reported that allergic rhinitis was an aggravating factor for GRAVES' DISEASE and that THYROTOXICOSIS relapsed 2 months after an allergic attack.,GRAVES' DISEASE,THYROTOXICOSIS,RO-cause_of
3220,503469000,7/16/2014 15:43:51,,1324303625,7/16/2014 15:43:36,instagc,0.8194,18960682,GBR,,,86.29.147.112,no_relation,41,164,,44,184,treats,0.437594974493684,900196-FS1-2,"Identification of more LQTS mutations in SIDS cases could provide new insights into the pathophysiology of SIDS and, consequently, reduce the number of unexplained SUDDEN INFANT DEATHS",SIDS,SUDDEN INFANT DEATHS,RO-cause_of
3227,503469002,7/16/2014 15:34:24,,1324299764,7/16/2014 15:34:19,neodev,0.8472,27597779,CAN,AB,Calgary,72.29.251.209,ALL TRANS RETINOIC ACID (ATRA) treats ACUTE PROMYELOCYTIC LEUKEMIA (APL),74,0,,107,30,treats,1.0,908323-FS1-2,ALL TRANS RETINOIC ACID (ATRA) is the drug of choice for the treatment of ACUTE PROMYELOCYTIC LEUKEMIA (APL),ACUTE PROMYELOCYTIC LEUKEMIA (APL),ALL TRANS RETINOIC ACID (ATRA),RO-may_treat
3234,503469003,7/16/2014 15:29:18,,1324298029,7/16/2014 15:29:05,clixsense,0.9306,27793793,GBR,C5,Chester,151.230.27.155,IVIG treats IDIOPATHIC THROMBOCYTOPENIC PURPURA,34,16,,68,20,treats,0.8846517369293829,908158-FS1-2,"Indications for IVIG therapy were IDIOPATHIC THROMBOCYTOPENIC PURPURA (ITP) in six patients and hypogammaglobulinemia in 7 patients with various hematologic disorders, who were defined immunodeficient (ID.",IDIOPATHIC THROMBOCYTOPENIC PURPURA,IVIG,RO-may_treat
3241,503469004,7/16/2014 16:18:46,,1324321555,7/16/2014 16:18:17,clixsense,0.7708,28324391,NLD,11,Hazerswoude-rijndijk,94.208.82.215,AL AMYLOIDOSIS causes MARKED HEPATOMEGALY,61,99,,79,113,causes,0.9237604307034007,902820-FS1-4,Nuclear Liver Spleen Scan  Nuclear liver spleen scan showing MARKED HEPATOMEGALY in a patient with AL AMYLOIDOSIS of the liver and spleen.,MARKED HEPATOMEGALY,AL AMYLOIDOSIS,RO-disease_may_have_finding
3248,503469005,7/16/2014 15:27:35,,1324297472,7/16/2014 15:27:13,elite,0.8472,28503042,USA,NJ,Woodbridge,54.191.150.115,MMMT causes SARCOMATOUS COMPONENT,79,42,,99,46,causes,0.5,901872-FS1-4,This case fulfills all the criteria of an MMMT in having a carcinomatous and a SARCOMATOUS COMPONENT but differs from cases of MMMT in women in that the sarcomatous component had decidualized.,SARCOMATOUS COMPONENT,MMMT,RO-disease_has_finding
3255,503469008,7/16/2014 15:33:52,,1324299585,7/16/2014 15:33:37,neodev,0.8472,27597779,CAN,AB,Calgary,72.29.251.209,MEDICATIONS treats TOLERANCE,185,220,,195,229,treats,0.875189948987367,903789-FS1-2,"Overall, they can be divided into: a) medications that act on the inflammatory response triggered by ischemia/reperfusion, such as anti CD11/CD18 antibodies and anti complement, and b) MEDICATIONS that enhance metabolic TOLERANCE such as glucose insulin potassium solution and inhibitors of the Na+/H+ ion exchange system.",MEDICATIONS,TOLERANCE,RO-has_causative_agent
3262,503469009,7/16/2014 15:28:49,,1324297892,7/16/2014 15:28:07,neodev,0.8472,27597779,CAN,AB,Calgary,72.29.251.209,HEMORRHAGIC FEVER WITH RENAL SYNDROME treats HANTAAN VIRUS,209,43,,221,80,treats,0.753778361444409,903692-FS1-2,"Convalescent phase sera from patients with HEMORRHAGIC FEVER WITH RENAL SYNDROME (HFRS) having higher IF antibody titers to Hantaan virus than to nephropathia epidemica (NE) virus were capable of neutralizing HANTAAN VIRUS, while sera from patients with higher IF antibody titers to NE virus than Hantaan virus did not contain neutralizing antibody to Hantaan virus.",HANTAAN VIRUS,HEMORRHAGIC FEVER WITH RENAL SYNDROME,RO-has_causative_agent
3269,503469011,7/16/2014 15:48:55,,1324305755,7/16/2014 15:48:37,prodege,0.7083,9525153,CAN,ON,Toronto,65.95.94.44,METHACHOLINE treats BRONCHIAL HYPERREACTIVITY,137,99,,161,111,treats,0.8955334711889901,906549-FS1-2,We found that active pulmonary tuberculosis would increase the nonspecific bronchial response with METHACHOLINE and the mechanism of the BRONCHIAL HYPERREACTIVITY in patients with active pulmonary tuberculosis may not be related to an immunologic mechanism but may be related to the stimulating receptors.,BRONCHIAL HYPERREACTIVITY,METHACHOLINE,RO-may_diagnose
3276,503469013,7/16/2014 15:23:14,,1324296233,7/16/2014 15:22:54,tremorgames,1.0,24449707,CAN,QC,Laval,96.21.249.72,ABSENCE EPILEPSY causes SEIZURES,120,18,,127,34,causes,0.8867963503478641,904936-FS1-4,"The final form of ABSENCE EPILEPSY is epilepsy with myoclonic absences, a rare disorder with a specific form of absence SEIZURES",SEIZURES,ABSENCE EPILEPSY,RO-has_definitional_manifestation
3283,503469014,7/16/2014 15:36:40,,1324300617,7/16/2014 15:36:21,instagc,0.9028,13763729,USA,,,75.182.89.225,no_relation,57,87,,62,104,causes,0.38490017945975,906019-FS1-4,"The atopic diseases of childhood consist of the triad of ASTHMA allergic rhinitis, and ATOPIC DERMATITIS",ASTHMA,ATOPIC DERMATITIS,RO-has_manifestation
3297,503469017,7/16/2014 15:29:54,,1324298287,7/16/2014 15:29:47,clixsense,0.9306,27793793,GBR,C5,Chester,151.230.27.155,VARICELLA causes CHICKENPOX,83,107,,91,117,causes,0.566138517072298,903771-FS1-4,"Varicella zoster virus (VZV) is the herpesvirus which causes the childhood disease VARICELLA also known as CHICKENPOX and the adult disease herpes zoster, also known as shingles.",VARICELLA,CHICKENPOX,RO-has_causative_agent
